logs/depth.did.Reb1.5M.log.err-1:real	0m55.523s
logs/depth.did.Reb1.5M.log.err-10:real	0m48.289s
logs/depth.did.Reb1.5M.log.err-100:real	0m51.000s
logs/depth.did.Reb1.5M.log.err-1000:real	0m54.524s
logs/depth.did.Reb1.5M.log.err-101:real	0m55.941s
logs/depth.did.Reb1.5M.log.err-102:real	0m55.732s
logs/depth.did.Reb1.5M.log.err-103:real	0m55.428s
logs/depth.did.Reb1.5M.log.err-104:real	0m55.578s
logs/depth.did.Reb1.5M.log.err-105:real	0m54.359s
logs/depth.did.Reb1.5M.log.err-106:real	0m48.384s
logs/depth.did.Reb1.5M.log.err-107:real	0m50.391s
logs/depth.did.Reb1.5M.log.err-108:real	0m55.825s
logs/depth.did.Reb1.5M.log.err-109:real	0m57.125s
logs/depth.did.Reb1.5M.log.err-11:real	0m47.920s
logs/depth.did.Reb1.5M.log.err-110:real	0m55.478s
logs/depth.did.Reb1.5M.log.err-111:real	0m55.978s
logs/depth.did.Reb1.5M.log.err-112:real	0m49.500s
logs/depth.did.Reb1.5M.log.err-113:real	0m47.851s
logs/depth.did.Reb1.5M.log.err-114:real	0m49.814s
logs/depth.did.Reb1.5M.log.err-115:real	0m49.726s
logs/depth.did.Reb1.5M.log.err-116:real	0m55.491s
logs/depth.did.Reb1.5M.log.err-117:real	0m55.967s
logs/depth.did.Reb1.5M.log.err-118:real	0m55.980s
logs/depth.did.Reb1.5M.log.err-119:real	0m48.742s
logs/depth.did.Reb1.5M.log.err-12:real	0m48.391s
logs/depth.did.Reb1.5M.log.err-120:real	0m54.458s
logs/depth.did.Reb1.5M.log.err-121:real	0m48.755s
logs/depth.did.Reb1.5M.log.err-122:real	0m55.383s
logs/depth.did.Reb1.5M.log.err-123:real	0m47.974s
logs/depth.did.Reb1.5M.log.err-124:real	0m51.652s
logs/depth.did.Reb1.5M.log.err-125:real	0m55.112s
logs/depth.did.Reb1.5M.log.err-126:real	0m55.079s
logs/depth.did.Reb1.5M.log.err-127:real	0m56.052s
logs/depth.did.Reb1.5M.log.err-128:real	0m56.286s
logs/depth.did.Reb1.5M.log.err-129:real	0m54.563s
logs/depth.did.Reb1.5M.log.err-13:real	0m49.061s
logs/depth.did.Reb1.5M.log.err-130:real	0m48.172s
logs/depth.did.Reb1.5M.log.err-131:real	0m50.147s
logs/depth.did.Reb1.5M.log.err-132:real	0m55.030s
logs/depth.did.Reb1.5M.log.err-133:real	0m57.036s
logs/depth.did.Reb1.5M.log.err-134:real	0m55.538s
logs/depth.did.Reb1.5M.log.err-135:real	0m55.561s
logs/depth.did.Reb1.5M.log.err-136:real	0m49.817s
logs/depth.did.Reb1.5M.log.err-137:real	0m47.730s
logs/depth.did.Reb1.5M.log.err-138:real	0m50.564s
logs/depth.did.Reb1.5M.log.err-139:real	0m49.341s
logs/depth.did.Reb1.5M.log.err-14:real	0m48.620s
logs/depth.did.Reb1.5M.log.err-140:real	1m1.154s
logs/depth.did.Reb1.5M.log.err-141:real	1m5.898s
logs/depth.did.Reb1.5M.log.err-142:real	1m22.466s
logs/depth.did.Reb1.5M.log.err-143:real	0m49.254s
logs/depth.did.Reb1.5M.log.err-144:real	1m2.507s
logs/depth.did.Reb1.5M.log.err-145:real	0m57.790s
logs/depth.did.Reb1.5M.log.err-146:real	1m11.895s
logs/depth.did.Reb1.5M.log.err-147:real	1m1.228s
logs/depth.did.Reb1.5M.log.err-148:real	0m57.642s
logs/depth.did.Reb1.5M.log.err-149:real	1m0.050s
logs/depth.did.Reb1.5M.log.err-15:real	0m48.919s
logs/depth.did.Reb1.5M.log.err-150:real	1m8.139s
logs/depth.did.Reb1.5M.log.err-151:real	1m7.576s
logs/depth.did.Reb1.5M.log.err-152:real	0m54.007s
logs/depth.did.Reb1.5M.log.err-153:real	0m55.093s
logs/depth.did.Reb1.5M.log.err-154:real	1m11.528s
logs/depth.did.Reb1.5M.log.err-155:real	0m53.619s
logs/depth.did.Reb1.5M.log.err-156:real	1m3.583s
logs/depth.did.Reb1.5M.log.err-157:real	1m2.047s
logs/depth.did.Reb1.5M.log.err-158:real	1m1.993s
logs/depth.did.Reb1.5M.log.err-159:real	1m1.225s
logs/depth.did.Reb1.5M.log.err-16:real	0m49.068s
logs/depth.did.Reb1.5M.log.err-160:real	0m50.304s
logs/depth.did.Reb1.5M.log.err-161:real	1m38.017s
logs/depth.did.Reb1.5M.log.err-162:real	1m38.143s
logs/depth.did.Reb1.5M.log.err-163:real	0m49.192s
logs/depth.did.Reb1.5M.log.err-164:real	0m55.102s
logs/depth.did.Reb1.5M.log.err-165:real	0m58.844s
logs/depth.did.Reb1.5M.log.err-166:real	0m51.418s
logs/depth.did.Reb1.5M.log.err-167:real	1m44.025s
logs/depth.did.Reb1.5M.log.err-168:real	0m48.682s
logs/depth.did.Reb1.5M.log.err-169:real	0m55.604s
logs/depth.did.Reb1.5M.log.err-17:real	0m48.852s
logs/depth.did.Reb1.5M.log.err-170:real	0m51.278s
logs/depth.did.Reb1.5M.log.err-171:real	0m56.640s
logs/depth.did.Reb1.5M.log.err-172:real	0m55.899s
logs/depth.did.Reb1.5M.log.err-173:real	1m37.318s
logs/depth.did.Reb1.5M.log.err-174:real	0m54.710s
logs/depth.did.Reb1.5M.log.err-175:real	0m54.481s
logs/depth.did.Reb1.5M.log.err-176:real	0m50.261s
logs/depth.did.Reb1.5M.log.err-177:real	1m20.407s
logs/depth.did.Reb1.5M.log.err-178:real	0m55.616s
logs/depth.did.Reb1.5M.log.err-179:real	0m56.774s
logs/depth.did.Reb1.5M.log.err-18:real	0m49.211s
logs/depth.did.Reb1.5M.log.err-180:real	0m49.893s
logs/depth.did.Reb1.5M.log.err-181:real	0m49.179s
logs/depth.did.Reb1.5M.log.err-182:real	0m55.620s
logs/depth.did.Reb1.5M.log.err-183:real	0m55.306s
logs/depth.did.Reb1.5M.log.err-184:real	0m55.474s
logs/depth.did.Reb1.5M.log.err-185:real	0m47.924s
logs/depth.did.Reb1.5M.log.err-186:real	0m55.117s
logs/depth.did.Reb1.5M.log.err-187:real	0m49.696s
logs/depth.did.Reb1.5M.log.err-188:real	0m51.417s
logs/depth.did.Reb1.5M.log.err-189:real	0m54.866s
