logs/depth.did.Reb1.1M.log.err-1:real	0m16.929s
logs/depth.did.Reb1.1M.log.err-10:real	0m17.465s
logs/depth.did.Reb1.1M.log.err-100:real	0m15.801s
logs/depth.did.Reb1.1M.log.err-1000:real	0m17.925s
logs/depth.did.Reb1.1M.log.err-101:real	0m15.299s
logs/depth.did.Reb1.1M.log.err-102:real	0m15.758s
logs/depth.did.Reb1.1M.log.err-103:real	0m15.618s
logs/depth.did.Reb1.1M.log.err-104:real	0m16.137s
logs/depth.did.Reb1.1M.log.err-105:real	0m18.052s
logs/depth.did.Reb1.1M.log.err-106:real	0m15.772s
logs/depth.did.Reb1.1M.log.err-107:real	0m16.870s
logs/depth.did.Reb1.1M.log.err-108:real	0m15.629s
logs/depth.did.Reb1.1M.log.err-109:real	0m18.244s
logs/depth.did.Reb1.1M.log.err-11:real	0m16.622s
logs/depth.did.Reb1.1M.log.err-110:real	0m15.537s
logs/depth.did.Reb1.1M.log.err-111:real	0m18.590s
logs/depth.did.Reb1.1M.log.err-112:real	0m18.358s
logs/depth.did.Reb1.1M.log.err-113:real	0m15.320s
logs/depth.did.Reb1.1M.log.err-114:real	0m17.308s
logs/depth.did.Reb1.1M.log.err-115:real	0m15.698s
logs/depth.did.Reb1.1M.log.err-116:real	0m17.745s
logs/depth.did.Reb1.1M.log.err-117:real	0m17.648s
logs/depth.did.Reb1.1M.log.err-118:real	0m17.311s
logs/depth.did.Reb1.1M.log.err-119:real	0m15.713s
logs/depth.did.Reb1.1M.log.err-12:real	0m18.146s
logs/depth.did.Reb1.1M.log.err-120:real	0m17.361s
logs/depth.did.Reb1.1M.log.err-121:real	0m14.918s
logs/depth.did.Reb1.1M.log.err-122:real	0m15.192s
logs/depth.did.Reb1.1M.log.err-123:real	0m17.558s
logs/depth.did.Reb1.1M.log.err-124:real	0m17.905s
logs/depth.did.Reb1.1M.log.err-125:real	0m15.500s
logs/depth.did.Reb1.1M.log.err-126:real	0m15.909s
logs/depth.did.Reb1.1M.log.err-127:real	0m15.251s
logs/depth.did.Reb1.1M.log.err-128:real	0m15.449s
logs/depth.did.Reb1.1M.log.err-129:real	0m15.620s
logs/depth.did.Reb1.1M.log.err-13:real	0m18.266s
logs/depth.did.Reb1.1M.log.err-130:real	0m16.029s
logs/depth.did.Reb1.1M.log.err-131:real	0m17.802s
logs/depth.did.Reb1.1M.log.err-132:real	0m15.961s
logs/depth.did.Reb1.1M.log.err-133:real	0m16.990s
logs/depth.did.Reb1.1M.log.err-134:real	0m15.909s
logs/depth.did.Reb1.1M.log.err-135:real	0m17.613s
logs/depth.did.Reb1.1M.log.err-136:real	0m15.500s
logs/depth.did.Reb1.1M.log.err-137:real	0m18.638s
logs/depth.did.Reb1.1M.log.err-138:real	0m18.289s
logs/depth.did.Reb1.1M.log.err-139:real	0m15.102s
logs/depth.did.Reb1.1M.log.err-14:real	0m17.809s
logs/depth.did.Reb1.1M.log.err-140:real	0m17.743s
logs/depth.did.Reb1.1M.log.err-141:real	0m15.762s
logs/depth.did.Reb1.1M.log.err-142:real	0m17.857s
logs/depth.did.Reb1.1M.log.err-143:real	0m18.476s
logs/depth.did.Reb1.1M.log.err-144:real	0m17.340s
logs/depth.did.Reb1.1M.log.err-145:real	0m16.412s
logs/depth.did.Reb1.1M.log.err-146:real	0m17.838s
logs/depth.did.Reb1.1M.log.err-147:real	0m15.302s
logs/depth.did.Reb1.1M.log.err-148:real	0m15.158s
logs/depth.did.Reb1.1M.log.err-149:real	0m17.282s
logs/depth.did.Reb1.1M.log.err-15:real	0m15.387s
logs/depth.did.Reb1.1M.log.err-150:real	0m18.050s
logs/depth.did.Reb1.1M.log.err-151:real	0m15.684s
logs/depth.did.Reb1.1M.log.err-152:real	0m15.979s
logs/depth.did.Reb1.1M.log.err-153:real	0m15.296s
logs/depth.did.Reb1.1M.log.err-154:real	0m16.001s
logs/depth.did.Reb1.1M.log.err-155:real	0m15.967s
logs/depth.did.Reb1.1M.log.err-156:real	0m15.846s
logs/depth.did.Reb1.1M.log.err-157:real	0m17.834s
logs/depth.did.Reb1.1M.log.err-158:real	0m15.503s
logs/depth.did.Reb1.1M.log.err-159:real	0m17.315s
logs/depth.did.Reb1.1M.log.err-16:real	0m15.876s
logs/depth.did.Reb1.1M.log.err-160:real	0m15.911s
logs/depth.did.Reb1.1M.log.err-161:real	0m17.745s
logs/depth.did.Reb1.1M.log.err-162:real	0m15.154s
logs/depth.did.Reb1.1M.log.err-163:real	0m17.969s
logs/depth.did.Reb1.1M.log.err-164:real	0m16.903s
logs/depth.did.Reb1.1M.log.err-165:real	0m18.663s
logs/depth.did.Reb1.1M.log.err-166:real	0m15.637s
logs/depth.did.Reb1.1M.log.err-167:real	0m17.636s
logs/depth.did.Reb1.1M.log.err-168:real	0m16.328s
logs/depth.did.Reb1.1M.log.err-169:real	0m17.408s
logs/depth.did.Reb1.1M.log.err-17:real	0m17.748s
logs/depth.did.Reb1.1M.log.err-170:real	0m19.402s
logs/depth.did.Reb1.1M.log.err-171:real	0m17.366s
logs/depth.did.Reb1.1M.log.err-172:real	0m15.599s
logs/depth.did.Reb1.1M.log.err-173:real	0m17.462s
logs/depth.did.Reb1.1M.log.err-174:real	0m15.425s
logs/depth.did.Reb1.1M.log.err-175:real	0m15.571s
logs/depth.did.Reb1.1M.log.err-176:real	0m17.546s
logs/depth.did.Reb1.1M.log.err-177:real	0m18.283s
logs/depth.did.Reb1.1M.log.err-178:real	0m15.638s
logs/depth.did.Reb1.1M.log.err-179:real	0m16.001s
logs/depth.did.Reb1.1M.log.err-18:real	0m16.440s
logs/depth.did.Reb1.1M.log.err-180:real	0m16.010s
logs/depth.did.Reb1.1M.log.err-181:real	0m16.126s
logs/depth.did.Reb1.1M.log.err-182:real	0m15.672s
logs/depth.did.Reb1.1M.log.err-183:real	0m15.742s
logs/depth.did.Reb1.1M.log.err-184:real	0m17.470s
logs/depth.did.Reb1.1M.log.err-185:real	0m17.287s
logs/depth.did.Reb1.1M.log.err-186:real	0m17.445s
logs/depth.did.Reb1.1M.log.err-187:real	0m15.342s
logs/depth.did.Reb1.1M.log.err-188:real	0m17.748s
logs/depth.did.Reb1.1M.log.err-189:real	0m15.143s
logs/depth.did.Reb1.1M.log.err-19:real	0m16.261s
logs/depth.did.Reb1.1M.log.err-190:real	0m18.439s
logs/depth.did.Reb1.1M.log.err-191:real	0m17.206s
logs/depth.did.Reb1.1M.log.err-192:real	0m18.362s
