logs/depth.did.Rap1.4M.log.err-1:real	0m43.912s
logs/depth.did.Rap1.4M.log.err-10:real	0m39.354s
logs/depth.did.Rap1.4M.log.err-100:real	0m41.789s
logs/depth.did.Rap1.4M.log.err-1000:real	0m45.487s
logs/depth.did.Rap1.4M.log.err-101:real	0m44.976s
logs/depth.did.Rap1.4M.log.err-102:real	0m41.909s
logs/depth.did.Rap1.4M.log.err-103:real	0m42.566s
logs/depth.did.Rap1.4M.log.err-104:real	0m46.351s
logs/depth.did.Rap1.4M.log.err-105:real	0m46.090s
logs/depth.did.Rap1.4M.log.err-106:real	0m44.426s
logs/depth.did.Rap1.4M.log.err-107:real	0m43.088s
logs/depth.did.Rap1.4M.log.err-108:real	0m39.751s
logs/depth.did.Rap1.4M.log.err-109:real	0m41.022s
logs/depth.did.Rap1.4M.log.err-11:real	0m41.905s
logs/depth.did.Rap1.4M.log.err-110:real	0m40.496s
logs/depth.did.Rap1.4M.log.err-111:real	0m44.949s
logs/depth.did.Rap1.4M.log.err-112:real	0m43.587s
logs/depth.did.Rap1.4M.log.err-113:real	0m38.824s
logs/depth.did.Rap1.4M.log.err-114:real	0m41.184s
logs/depth.did.Rap1.4M.log.err-115:real	0m44.580s
logs/depth.did.Rap1.4M.log.err-116:real	0m44.485s
logs/depth.did.Rap1.4M.log.err-117:real	0m38.760s
logs/depth.did.Rap1.4M.log.err-118:real	0m44.963s
logs/depth.did.Rap1.4M.log.err-119:real	0m39.247s
logs/depth.did.Rap1.4M.log.err-12:real	0m39.152s
logs/depth.did.Rap1.4M.log.err-120:real	0m38.841s
logs/depth.did.Rap1.4M.log.err-121:real	0m40.445s
logs/depth.did.Rap1.4M.log.err-122:real	0m41.724s
logs/depth.did.Rap1.4M.log.err-123:real	0m41.690s
logs/depth.did.Rap1.4M.log.err-124:real	0m44.654s
logs/depth.did.Rap1.4M.log.err-125:real	0m41.811s
logs/depth.did.Rap1.4M.log.err-126:real	0m41.742s
logs/depth.did.Rap1.4M.log.err-127:real	0m45.301s
logs/depth.did.Rap1.4M.log.err-128:real	0m44.811s
logs/depth.did.Rap1.4M.log.err-129:real	0m38.667s
logs/depth.did.Rap1.4M.log.err-13:real	0m42.221s
logs/depth.did.Rap1.4M.log.err-130:real	0m39.216s
logs/depth.did.Rap1.4M.log.err-131:real	1m40.267s
logs/depth.did.Rap1.4M.log.err-132:real	0m44.761s
logs/depth.did.Rap1.4M.log.err-133:real	0m38.916s
logs/depth.did.Rap1.4M.log.err-134:real	0m40.163s
logs/depth.did.Rap1.4M.log.err-135:real	0m40.498s
logs/depth.did.Rap1.4M.log.err-136:real	0m41.578s
logs/depth.did.Rap1.4M.log.err-137:real	0m41.505s
logs/depth.did.Rap1.4M.log.err-138:real	0m42.636s
logs/depth.did.Rap1.4M.log.err-139:real	0m42.054s
logs/depth.did.Rap1.4M.log.err-14:real	0m45.912s
logs/depth.did.Rap1.4M.log.err-140:real	0m45.402s
logs/depth.did.Rap1.4M.log.err-141:real	0m38.839s
logs/depth.did.Rap1.4M.log.err-142:real	0m44.857s
logs/depth.did.Rap1.4M.log.err-143:real	0m39.377s
logs/depth.did.Rap1.4M.log.err-144:real	0m38.844s
logs/depth.did.Rap1.4M.log.err-145:real	0m39.294s
logs/depth.did.Rap1.4M.log.err-146:real	0m38.867s
logs/depth.did.Rap1.4M.log.err-147:real	0m38.891s
logs/depth.did.Rap1.4M.log.err-148:real	0m39.206s
logs/depth.did.Rap1.4M.log.err-149:real	0m44.608s
logs/depth.did.Rap1.4M.log.err-15:real	0m45.945s
logs/depth.did.Rap1.4M.log.err-150:real	0m38.879s
logs/depth.did.Rap1.4M.log.err-151:real	0m39.097s
logs/depth.did.Rap1.4M.log.err-152:real	0m40.954s
logs/depth.did.Rap1.4M.log.err-153:real	0m41.469s
logs/depth.did.Rap1.4M.log.err-154:real	0m41.615s
